Isolate	Species.Predicted	ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	Resistance	Host.Group	Genus	Species	Strain	Assembly.Accession	Isolation.Country	Geographic.Group	Collection.Year	Collection.Date	Host.Common.Name
GCA_018500715.1	campylobacter	3	3	2	5	10	11	11	6	0	NA	Campylobacter	Campylobacter jejuni	TTU_499	GCA_018500715.1	USA	North America	2018	2018	NA
GCA_018500745.1	campylobacter	10222	2	1	2	3	2	9	5	0	NA	Campylobacter	Campylobacter jejuni	TTU_514	GCA_018500745.1	USA	North America	2018	2018	NA
GCA_018500765.1	campylobacter	353	7	17	5	2	10	3	6	0	NA	Campylobacter	Campylobacter jejuni	TTU_494	GCA_018500765.1	USA	North America	2018	2018	NA
GCA_018500785.1	campylobacter	22	1	3	6	4	3	3	3	0	NA	Campylobacter	Campylobacter jejuni	TTU_498	GCA_018500785.1	USA	North America	2018	2018	NA
GCA_018500795.1	campylobacter	10221	7	17	5	2	167	3	6	0	NA	Campylobacter	Campylobacter jejuni	TTU_484	GCA_018500795.1	USA	North America	2018	2018	NA
GCA_018500805.1	campylobacter	934	1	1	59	2	10	5	7	0	NA	Campylobacter	Campylobacter jejuni	TTU_515	GCA_018500805.1	USA	North America	2018	2018	NA
GCA_018500845.1	campylobacter	353	7	17	5	2	10	3	6	1	NA	Campylobacter	Campylobacter jejuni	TTU_486	GCA_018500845.1	USA	North America	2018	2018	NA
GCA_018500865.1	campylobacter	50	2	1	12	3	2	1	5	0	NA	Campylobacter	Campylobacter jejuni	TTU_491	GCA_018500865.1	USA	North America	2018	2018	NA
GCA_018500875.1	campylobacter	10220	1	6	61	147	40	180	3	0	NA	Campylobacter	Campylobacter jejuni	TTU_620	GCA_018500875.1	Canada	North America	2018	2018	NA
GCA_018500895.1	campylobacter	10263	123	751	640	367	1059	820	677	0	NA	Campylobacter	Campylobacter coli	TTU_586	GCA_018500895.1	Canada	North America	2015	2015	NA
GCA_018500925.1	campylobacter	10247	478	215	172	239	283	818	573	0	NA	Campylobacter	Campylobacter coli	TTU_582	GCA_018500925.1	Canada	North America	2018	2018	NA
GCA_018500935.1	campylobacter	50	2	1	12	3	2	1	5	0	NA	Campylobacter	Campylobacter jejuni	TTU_613B	GCA_018500935.1	USA	North America	2018	2018	NA
GCA_018500965.1	campylobacter	10262	123	167	639	204	233	819	123	0	NA	Campylobacter	Campylobacter coli	TTU_583	GCA_018500965.1	Canada	North America	2018	2018	NA
GCA_018500985.1	campylobacter	4957	33	39	44	82	104	43	36	0	NA	Campylobacter	Campylobacter coli	TTU_605	GCA_018500985.1	USA	North America	2018	2018	NA
GCA_018501005.1	campylobacter	3859	33	38	30	167	104	44	36	0	NA	Campylobacter	Campylobacter coli	TTU_607	GCA_018501005.1	USA	North America	2018	2018	NA
GCA_018501025.1	campylobacter	1063	33	39	30	140	113	43	41	0	NA	Campylobacter	Campylobacter coli	TTU_613A	GCA_018501025.1	USA	North America	2018	2018	NA
GCA_018501045.1	campylobacter	4957	33	39	44	82	104	43	36	0	NA	Campylobacter	Campylobacter coli	TTU_602	GCA_018501045.1	USA	North America	2018	2018	NA
GCA_018501065.1	campylobacter	1063	33	39	30	140	113	43	41	0	NA	Campylobacter	Campylobacter coli	TTU_616	GCA_018501065.1	USA	North America	2018	2018	NA
GCA_018501085.1	campylobacter	1107	33	38	30	82	104	44	36	0	NA	Campylobacter	Campylobacter coli	TTU_568	GCA_018501085.1	USA	North America	2018	2018	NA
GCA_018501095.1	campylobacter	10223	33	38	30	167	104	35	68	0	NA	Campylobacter	Campylobacter coli	TTU_567	GCA_018501095.1	USA	North America	2018	2018	NA
GCA_018501135.1	-	-								0	Avian	Campylobacter	Campylobacter sp. 2018MI13	2018MI13	GCA_018501135.1	USA	North America	2018	2018	Goose
GCA_018501145.1	-	-								0	Avian	Campylobacter	Campylobacter sp. 2018MI27	2018MI27	GCA_018501145.1	USA	North America	2018	2018	Goose
GCA_018501175.1	-	-								0	Nonhuman Mammal	Campylobacter	Campylobacter sp. 2018MI10	2018MI10	GCA_018501175.1	USA	North America	2018	2018	Cat
GCA_018501205.1	-	-								0	Avian	Campylobacter	Campylobacter sp. 2018MI01	2018MI01	GCA_018501205.1	USA	North America	2018	2018	Goose
GCA_018603765.1	campylobacter	10264	123	752	195	182	1060	821	672	0	NA	Campylobacter	Campylobacter coli	TTU_587	GCA_018603765.1	Canada	North America	2015	2015	NA
GCA_018726865.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/2879	GCA_018726865.1	France	Europe	2019	2019	Human
GCA_018726875.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/2832	GCA_018726875.1	France	Europe	2019	2019	Human
GCA_018726905.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/2562	GCA_018726905.1	France	Europe	2019	2019	Human
GCA_018726925.1	campylobacter	9987	33	39	30	140	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/2258	GCA_018726925.1	France	Europe	2019	2019	Human
GCA_018726935.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/2475	GCA_018726935.1	France	Europe	2019	2019	Human
GCA_018726965.1	campylobacter	9840	33	39	30	82	113	35	263	1	Human	Campylobacter	Campylobacter coli	2019/2001	GCA_018726965.1	France	Europe	2019	2019	Human
GCA_018726975.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/2160	GCA_018726975.1	France	Europe	2019	2019	Human
GCA_018726995.1	campylobacter	827	33	39	30	82	104	56	17	1	Human	Campylobacter	Campylobacter coli	2019/2005	GCA_018726995.1	France	Europe	2019	2019	Human
GCA_018727025.1	campylobacter	9987	33	39	30	140	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/1859	GCA_018727025.1	France	Europe	2019	2019	Human
GCA_018727045.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/1855	GCA_018727045.1	France	Europe	2019	2019	Human
GCA_018727085.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/1612	GCA_018727085.1	France	Europe	2019	2019	Human
GCA_018727115.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/1832	GCA_018727115.1	France	Europe	2019	2019	Human
GCA_018727145.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/1720	GCA_018727145.1	France	Europe	2019	2019	Human
GCA_018727205.1	campylobacter	6461	2	17	5	2	10	59	6	1	Human	Campylobacter	Campylobacter jejuni	2019/1193	GCA_018727205.1	France	Europe	2019	2019	Human
GCA_018727245.1	campylobacter	9987	33	39	30	140	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/0973H	GCA_018727245.1	France	Europe	2019	2019	Human
GCA_018727265.1	campylobacter	860	33	39	30	79	113	47	17	1	Human	Campylobacter	Campylobacter coli	2019/0773	GCA_018727265.1	France	Europe	2019	2019	Human
GCA_018727275.1	campylobacter	9987	33	39	30	140	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/0736	GCA_018727275.1	France	Europe	2019	2019	Human
GCA_018727285.1	campylobacter	-	~423	38	30	82	104	35	17	1	Human	Campylobacter	Campylobacter coli	2019/0916h	GCA_018727285.1	France	Europe	2019	2019	Human
GCA_018727325.1	campylobacter	9987	33	39	30	140	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/0716	GCA_018727325.1	France	Europe	2019	2019	Human
GCA_018727345.1	campylobacter	860	33	39	30	79	113	47	17	1	Human	Campylobacter	Campylobacter coli	2019/0648	GCA_018727345.1	France	Europe	2019	2019	Human
GCA_018727355.1	campylobacter	10048	292	39	30	79	113	43	17	1	Human	Campylobacter	Campylobacter coli	2019/0633	GCA_018727355.1	France	Europe	2019	2019	Human
GCA_018727385.1	campylobacter	6689	33	39	30	82	113	44	79	1	Human	Campylobacter	Campylobacter coli	2019/0587	GCA_018727385.1	France	Europe	2019	2019	Human
GCA_018727395.1	campylobacter	6	63	34	27	33	45	5	7	0	Human	Campylobacter	Campylobacter jejuni	2019/0557H	GCA_018727395.1	France	Europe	2019	2019	Human
GCA_018727425.1	campylobacter	6532	346	2	3	4	5	9	3	1	Human	Campylobacter	Campylobacter jejuni	2019/0511H	GCA_018727425.1	France	Europe	2019	2019	Human
GCA_018727445.1	campylobacter	825	33	39	30	82	113	47	17	0	Human	Campylobacter	Campylobacter coli	2019/0231H/0051	GCA_018727445.1	France	Europe	2020	2020	Human
GCA_018727465.1	campylobacter	828	33	39	30	82	104	43	17	1	Human	Campylobacter	Campylobacter coli	2019/0320H	GCA_018727465.1	France	Europe	2019	2019	Human
GCA_018727485.1	campylobacter	2097	33	38	30	238	104	43	36	1	Human	Campylobacter	Campylobacter coli	2019/0242H	GCA_018727485.1	France	Europe	2019	2019	Human
GCA_018727495.1	campylobacter	825	33	39	30	82	113	47	17	0	Human	Campylobacter	Campylobacter coli	2019/0231H/0191	GCA_018727495.1	France	Europe	2020	2020	Human
GCA_018727525.1	campylobacter	825	33	39	30	82	113	47	17	0	Human	Campylobacter	Campylobacter coli	2019/0231H	GCA_018727525.1	France	Europe	2019	2019	Human
GCA_018727545.1	campylobacter	9840	33	39	30	82	113	35	263	1	Human	Campylobacter	Campylobacter coli	2019/0191	GCA_018727545.1	France	Europe	2019	2019	Human
GCA_018727565.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2019/0079h	GCA_018727565.1	France	Europe	2019	2019	Human
GCA_018727585.1	campylobacter	7010	296	34	27	33	697	545	213	1	Human	Campylobacter	Campylobacter jejuni	2019/0207	GCA_018727585.1	France	Europe	2019	2019	Human
GCA_018727595.1	campylobacter	-	33	~39	30	115	113	43	17	1	Human	Campylobacter	Campylobacter coli	2019/0051	GCA_018727595.1	France	Europe	2019	2019	Human
GCA_018727625.1	campylobacter	860	33	39	30	79	113	47	17	1	Human	Campylobacter	Campylobacter coli	2018/2697	GCA_018727625.1	France	Europe	2018	2018	Human
GCA_018727645.1	campylobacter	1108	33	39	30	78	113	43	17	1	Human	Campylobacter	Campylobacter coli	2018/2656	GCA_018727645.1	France	Europe	2018	2018	Human
GCA_018727655.1	campylobacter	-	33	39	30	79	163	43	41	1	Human	Campylobacter	Campylobacter coli	2018/2289	GCA_018727655.1	France	Europe	2018	2018	Human
GCA_018727665.1	campylobacter	2328	8	2	2	212	153	253	147	1	Human	Campylobacter	Campylobacter jejuni	2018/2533	GCA_018727665.1	France	Europe	2018	2018	Human
GCA_018727705.1	campylobacter	1600	33	39	65	140	104	43	17	1	Human	Campylobacter	Campylobacter coli	2018/2195	GCA_018727705.1	France	Europe	2018	2018	Human
GCA_018727725.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2018/2141	GCA_018727725.1	France	Europe	2018	2018	Human
GCA_018727745.1	campylobacter	860	33	39	30	79	113	47	17	1	Human	Campylobacter	Campylobacter coli	2018/2034	GCA_018727745.1	France	Europe	2018	2018	Human
GCA_018727765.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2018/2008	GCA_018727765.1	France	Europe	2018	2018	Human
GCA_018727785.1	campylobacter	-	53	38	30	82	113	43	17	1	Human	Campylobacter	Campylobacter coli	2018/1149	GCA_018727785.1	France	Europe	2018	2018	Human
GCA_018727795.1	campylobacter	6461	2	17	5	2	10	59	6	1	Human	Campylobacter	Campylobacter jejuni	2018/1793	GCA_018727795.1	France	Europe	2018	2018	Human
GCA_018727825.1	campylobacter	5380	33	38	30	79	113	43	17	1	Human	Campylobacter	Campylobacter coli	2018/1062	GCA_018727825.1	France	Europe	2018	2018	Human
GCA_018727845.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2018/0857H	GCA_018727845.1	France	Europe	2018	2018	Human
GCA_018727855.1	campylobacter	-	547	39	103	140	626	43	79	1	Human	Campylobacter	Campylobacter coli	2018/1021H	GCA_018727855.1	France	Europe	2018	2018	Human
GCA_018727885.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2018/0590H	GCA_018727885.1	France	Europe	2018	2018	Human
GCA_018727915.1	campylobacter	2097	33	38	30	238	104	43	36	1	Human	Campylobacter	Campylobacter coli	2018/0534H	GCA_018727915.1	France	Europe	2018	2018	Human
GCA_018727945.1	campylobacter	2274	9	17	5	10	350	3	3	1	Human	Campylobacter	Campylobacter jejuni	2018/0116	GCA_018727945.1	France	Europe	2018	2018	Human
GCA_018727955.1	campylobacter	-	33	39	30	115	23	43	17	1	Human	Campylobacter	Campylobacter coli	2018/0417H	GCA_018727955.1	France	Europe	2018	2018	Human
GCA_018727975.1	campylobacter	827	33	39	30	82	104	56	17	1	Human	Campylobacter	Campylobacter coli	2018/0187	GCA_018727975.1	France	Europe	2018	2018	Human
GCA_018727985.1	campylobacter	2066	9	10	5	10	22	3	6	1	Human	Campylobacter	Campylobacter jejuni	2018/0061H	GCA_018727985.1	France	Europe	2018	2018	Human
GCA_018728025.1	campylobacter	827	33	39	30	82	104	56	17	1	Human	Campylobacter	Campylobacter coli	2018/0065H	GCA_018728025.1	France	Europe	2018	2018	Human
GCA_018728045.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2018/0030H	GCA_018728045.1	France	Europe	2018	2018	Human
GCA_018728065.1	campylobacter	899	33	39	30	82	113	35	17	1	Human	Campylobacter	Campylobacter coli	2016/0940	GCA_018728065.1	France	Europe	2016	2016	Human
GCA_018728085.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	2017/0180	GCA_018728085.1	France	Europe	2017	2017	Human
GCA_018728105.1	campylobacter	9840	33	39	30	82	113	35	263	1	Human	Campylobacter	Campylobacter coli	2016/2392	GCA_018728105.1	France	Europe	2016	2016	Human
GCA_018728125.1	campylobacter	899	33	39	30	82	113	35	17	1	Human	Campylobacter	Campylobacter coli	2016/0429H	GCA_018728125.1	France	Europe	2016	2016	Human
GCA_018885125.1	campylobacter	760	2	1	52	3	2	100	5	1	Human	Campylobacter	Campylobacter jejuni	R16.0174	GCA_018885125.1	Taiwan	Asia	2016	2016	Human
GCA_018885145.1	campylobacter	5506	33	39	30	79	506	47	17	1	Human	Campylobacter	Campylobacter coli	R18.1828	GCA_018885145.1	Taiwan	Asia	2018	2018	Human
GCA_018885165.1	campylobacter	1145	33	39	30	82	104	44	17	0	Human	Campylobacter	Campylobacter coli	R19.0802	GCA_018885165.1	Taiwan	Asia	2019	2019	Human
GCA_018885185.1	campylobacter	8733	33	39	30	544	113	35	17	1	Human	Campylobacter	Campylobacter coli	R19.0895	GCA_018885185.1	Taiwan	Asia	2019	2019	Human
GCA_018885205.1	campylobacter	5	7	2	5	2	10	3	6	1	Human	Campylobacter	Campylobacter jejuni	R18.1301	GCA_018885205.1	Taiwan	Asia	2018	2018	Human
GCA_018885225.1	campylobacter	760	2	1	52	3	2	100	5	1	Human	Campylobacter	Campylobacter jejuni	R16.4752	GCA_018885225.1	Taiwan	Asia	2016	2016	Human
GCA_018885245.1	campylobacter	1145	33	39	30	82	104	44	17	1	Human	Campylobacter	Campylobacter coli	R19.1157	GCA_018885245.1	Taiwan	Asia	2019	2019	Human
GCA_018968685.1	-	-							NA	0	NA	Campylobacter	Campylobacter novaezeelandiae	W441b	GCA_018968685.1	New Zealand	Oceania	2008	2008	NA
GCA_019056415.1	campylobacter	10483	2	1	12	3	127	1	5	1	Human	Campylobacter	Campylobacter jejuni	R16.2162	GCA_019056415.1	Taiwan	Asia	2016	2016	Human
GCA_019056455.1	campylobacter	10560	24	2	2	2	1077	3	1	1	Human	Campylobacter	Campylobacter jejuni	R19.1007	GCA_019056455.1	Taiwan	Asia	2019	2019	Human
GCA_019295405.1	campylobacter	22	1	3	6	4	3	3	3	0	Human	Campylobacter	Campylobacter jejuni	TW16361-1	GCA_019295405.1	USA	North America	2011	40596	Human
GCA_019295485.1	campylobacter	3510	7	17	5	2	13	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16373-2	GCA_019295485.1	USA	North America	2011	40661	Human
GCA_019295495.1	campylobacter	48	2	4	1	2	7	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16374-2	GCA_019295495.1	USA	North America	2011	40660	Human
GCA_019295525.1	campylobacter	982	2	1	2	3	2	1	5	1	Human	Campylobacter	Campylobacter jejuni	TW16398-1	GCA_019295525.1	USA	North America	2011	40740	Human
GCA_019295545.1	campylobacter	222	2	21	5	2	59	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16397-2	GCA_019295545.1	USA	North America	2011	40740	Human
GCA_019295565.1	campylobacter	353	7	17	5	2	10	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16399-1	GCA_019295565.1	USA	North America	2011	40743	Human
GCA_019295585.1	campylobacter	6642	2	469	5	2	59	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16400-2	GCA_019295585.1	USA	North America	2011	40745	Human
GCA_019295605.1	campylobacter	122	6	4	5	2	2	1	5	1	Human	Campylobacter	Campylobacter jejuni	TW16409-2-1	GCA_019295605.1	USA	North America	2011	40751	Human
GCA_019295615.1	campylobacter	45	4	7	10	4	1	7	1	0	Human	Campylobacter	Campylobacter jejuni	TW16402-3	GCA_019295615.1	USA	North America	2011	40743	Human
GCA_019295655.1	campylobacter	50	2	1	12	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16420-1	GCA_019295655.1	USA	North America	2011	40766	Human
GCA_019295665.1	campylobacter	468	10	2	50	62	91	73	45	0	Human	Campylobacter	Campylobacter jejuni	TW16401-1	GCA_019295665.1	USA	North America	2011	40744	Human
GCA_019295705.1	campylobacter	3574	2	1	12	3	2	1	23	1	Human	Campylobacter	Campylobacter jejuni	TW16431-1	GCA_019295705.1	USA	North America	2011	40773	Human
GCA_019295745.1	campylobacter	45	4	7	10	4	1	7	1	0	Human	Campylobacter	Campylobacter jejuni	TW16435-1	GCA_019295745.1	USA	North America	2011	40782	Human
GCA_019295765.1	campylobacter	1911	7	84	5	10	119	178	26	0	Human	Campylobacter	Campylobacter jejuni	TW16438-1	GCA_019295765.1	USA	North America	2011	40789	Human
GCA_019295825.1	campylobacter	353	7	17	5	2	10	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16443-1	GCA_019295825.1	USA	North America	2011	40792	Human
GCA_019295845.1	campylobacter	267	4	7	40	4	42	51	1	0	Human	Campylobacter	Campylobacter jejuni	TW16442-1	GCA_019295845.1	USA	North America	2011	40792	Human
GCA_019295865.1	campylobacter	8	2	1	1	3	2	1	6	0	Human	Campylobacter	Campylobacter jejuni	TW16444-1	GCA_019295865.1	USA	North America	2011	40795	Human
GCA_019295885.1	campylobacter	353	7	17	5	2	10	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16445-1	GCA_019295885.1	USA	North America	2011	40798	Human
GCA_019295905.1	campylobacter	459	1	2	3	3	5	9	3	0	Human	Campylobacter	Campylobacter jejuni	TW16446-1	GCA_019295905.1	USA	North America	2011	40801	Human
GCA_019295925.1	campylobacter	8	2	1	1	3	2	1	6	0	Human	Campylobacter	Campylobacter jejuni	TW16452-1	GCA_019295925.1	USA	North America	2011	40812	Human
GCA_019295985.1	campylobacter	353	7	17	5	2	10	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16455-1	GCA_019295985.1	USA	North America	2011	40597	Human
GCA_019296025.1	campylobacter	-	1	6	60	24	12?	28	1	0	Human	Campylobacter	Campylobacter jejuni	TW16467-1	GCA_019296025.1	USA	North America	2011	40822	Human
GCA_019296045.1	campylobacter	-	4	79?	10	4	1	7	1	0	Human	Campylobacter	Campylobacter jejuni	TW16464-1	GCA_019296045.1	USA	North America	2011	40813	Human
GCA_019296065.1	campylobacter	1244	1	1	2	2	225	3	17	0	Human	Campylobacter	Campylobacter jejuni	TW16478-2	GCA_019296065.1	USA	North America	2011	40882	Human
GCA_019296085.1	campylobacter	44	8	1	6	3	2	1	1	1	Human	Campylobacter	Campylobacter jejuni	TW16469-1	GCA_019296085.1	USA	North America	2011	40829	Human
GCA_019296095.1	campylobacter	922	1	1	2	83	2	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16491-1	GCA_019296095.1	USA	North America	2012	40954	Human
GCA_019296125.1	campylobacter	982	2	1	2	3	2	1	5	1	Human	Campylobacter	Campylobacter jejuni	TW16493-1	GCA_019296125.1	USA	North America	NA	NA	Human
GCA_019296145.1	campylobacter	982	2	1	2	3	2	1	5	1	Human	Campylobacter	Campylobacter jejuni	TW16494-1	GCA_019296145.1	USA	North America	2012	40959	Human
GCA_019296165.1	campylobacter	52	9	25	2	10	22	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16506-3	GCA_019296165.1	USA	North America	2012	40998	Human
GCA_019296185.1	campylobacter	50	2	1	12	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16495-1	GCA_019296185.1	USA	North America	2012	40966	Human
GCA_019296205.1	campylobacter	982	2	1	2	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16498-1-1	GCA_019296205.1	USA	North America	2012	40974	Human
GCA_019296215.1	campylobacter	48	2	4	1	2	7	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16499-2	GCA_019296215.1	USA	North America	2012	40982	Human
GCA_019296235.1	campylobacter	8	2	1	1	3	2	1	6	0	Human	Campylobacter	Campylobacter jejuni	TW16510-3	GCA_019296235.1	USA	North America	2012	41017	Human
GCA_019296265.1	campylobacter	806	2	1	1	3	140	3	5	0	Human	Campylobacter	Campylobacter jejuni	TW16512-1	GCA_019296265.1	USA	North America	2012	41021	Human
GCA_019296285.1	campylobacter	6752	7	17	2	2	22	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16511-2	GCA_019296285.1	USA	North America	2012	41018	Human
GCA_019296305.1	campylobacter	353	7	17	5	2	10	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16515-3	GCA_019296305.1	USA	North America	2012	41032	Human
GCA_019296325.1	campylobacter	353	7	17	5	2	10	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16514-1	GCA_019296325.1	USA	North America	2012	41022	Human
GCA_019296335.1	campylobacter	982	2	1	2	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16606-1	GCA_019296335.1	USA	North America	2012	41060	Human
GCA_019296355.1	campylobacter	2521	150	4	1	2	7	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16602-2	GCA_019296355.1	USA	North America	2012	41045	Human
GCA_019296385.1	campylobacter	6	63	34	27	33	45	5	7	0	Human	Campylobacter	Campylobacter jejuni	TW16607-2	GCA_019296385.1	USA	North America	2012	41062	Human
GCA_019296405.1	campylobacter	353	7	17	5	2	10	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16609-2	GCA_019296405.1	USA	North America	2012	41072	Human
GCA_019296425.1	campylobacter	929	9	2	4	62	4	5	17	0	Human	Campylobacter	Campylobacter jejuni	TW16621-1	GCA_019296425.1	USA	North America	2012	41098	Human
GCA_019296445.1	campylobacter	21	2	1	1	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16612-2	GCA_019296445.1	USA	North America	2012	41085	Human
GCA_019296465.1	campylobacter	464	24	2	2	2	10	3	1	1	Human	Campylobacter	Campylobacter jejuni	TW16617-3	GCA_019296465.1	USA	North America	2012	41091	Human
GCA_019296485.1	campylobacter	508	1	6	60	24	12	28	1	0	Human	Campylobacter	Campylobacter jejuni	TW16626-1	GCA_019296485.1	USA	North America	2012	41104	Human
GCA_019296505.1	campylobacter	4185	10	2	50	62	91	367	45	0	Human	Campylobacter	Campylobacter jejuni	TW16628-1	GCA_019296505.1	USA	North America	2012	41105	Human
GCA_019296525.1	campylobacter	45	4	7	10	4	1	7	1	0	Human	Campylobacter	Campylobacter jejuni	TW16632-1	GCA_019296525.1	USA	North America	2012	41110	Human
GCA_019296545.1	campylobacter	45	4	7	10	4	1	7	1	0	Human	Campylobacter	Campylobacter jejuni	TW16629-1	GCA_019296545.1	USA	North America	2012	41107	Human
GCA_019296555.1	campylobacter	2132	7	2	5	2	2	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16636-3	GCA_019296555.1	USA	North America	2012	41117	Human
GCA_019296585.1	campylobacter	7009	2	59	4	554	131	24	57	0	Human	Campylobacter	Campylobacter jejuni	TW16637-2	GCA_019296585.1	USA	North America	2012	41114	Human
GCA_019296605.1	campylobacter	48	2	4	1	2	7	1	5	1	Human	Campylobacter	Campylobacter jejuni	TW16638-1	GCA_019296605.1	USA	North America	2012	41116	Human
GCA_019296625.1	campylobacter	-	~2	21	5	2	59	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16640-2	GCA_019296625.1	USA	North America	2012	41124	Human
GCA_019296645.1	campylobacter	929	9	2	4	62	4	5	17	0	Human	Campylobacter	Campylobacter jejuni	TW16645-3	GCA_019296645.1	USA	North America	NA	NA	Human
GCA_019296655.1	campylobacter	982	2	1	2	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16646-2	GCA_019296655.1	USA	North America	2012	41137	Human
GCA_019296685.1	campylobacter	353	7	17	5	2	10	3	6	0	Human	Campylobacter	Campylobacter jejuni	TW16648-1	GCA_019296685.1	USA	North America	2012	41135	Human
GCA_019296705.1	campylobacter	454	2	1	1	5	22	1	8	0	Human	Campylobacter	Campylobacter jejuni	TW16644-1	GCA_019296705.1	USA	North America	2012	41130	Human
GCA_019296725.1	campylobacter	982	2	1	2	3	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16647-1	GCA_019296725.1	USA	North America	2012	41135	Human
GCA_019296745.1	campylobacter	2875	2	29	4	48	10	25	57	0	Human	Campylobacter	Campylobacter jejuni	TW16656-1	GCA_019296745.1	USA	North America	2012	41137	Human
GCA_019296765.1	campylobacter	5221	296	34	27	33	45	36	329	1	Human	Campylobacter	Campylobacter jejuni	TW16657-1	GCA_019296765.1	USA	North America	2012	41138	Human
GCA_019296775.1	campylobacter	2109	4	7	10	4	10	7	1	0	Human	Campylobacter	Campylobacter jejuni	TW16651-1	GCA_019296775.1	USA	North America	2012	41137	Human
GCA_019296845.1	campylobacter	42	1	2	3	4	5	9	3	0	Human	Campylobacter	Campylobacter jejuni	TW16662-1	GCA_019296845.1	USA	North America	2012	41144	Human
GCA_019296865.1	campylobacter	929	9	2	4	62	4	5	17	0	Human	Campylobacter	Campylobacter jejuni	TW16663-1	GCA_019296865.1	USA	North America	2012	41146	Human
GCA_019296875.1	campylobacter	929	9	2	4	62	4	5	17	0	Human	Campylobacter	Campylobacter jejuni	TW16665-1	GCA_019296875.1	USA	North America	2012	41151	Human
GCA_019296885.1	campylobacter	48	2	4	1	2	7	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16670-1	GCA_019296885.1	USA	North America	2012	41153	Human
GCA_019296925.1	campylobacter	6788	2	1	4	28	58	29	58	0	Human	Campylobacter	Campylobacter jejuni	TW16676-1	GCA_019296925.1	USA	North America	NA	NA	Human
GCA_019296945.1	campylobacter	986	91	2	42	4	169	9	8	1	Human	Campylobacter	Campylobacter jejuni	TW16689-2	GCA_019296945.1	USA	North America	2012	41178	Human
GCA_019296965.1	campylobacter	464	24	2	2	2	10	3	1	1	Human	Campylobacter	Campylobacter jejuni	TW16698-2	GCA_019296965.1	USA	North America	2012	41202	Human
GCA_019296985.1	campylobacter	-	2	1	2	1006?	2	1	5	0	Human	Campylobacter	Campylobacter jejuni	TW16693-2	GCA_019296985.1	USA	North America	2012	41185	Human
